Year,Month,Day,Hour,Minute,Second,Port,SampleName
2015,06,24,21,28,40,01,canair1
2015,06,24,21,28,53,02,canair2
2015,06,24,21,29,06,03,G_15142_11a_iC_T30-1
2015,06,24,21,29,19,04,G_15142_11b_iC_T30-1
2015,06,24,21,29,31,05,G_15142_11c_iC_T30-1
2015,06,24,21,29,44,06,G_15142_12a_iC_T30-1
2015,06,24,21,29,57,07,G_15142_12c_iC_T30-1
2015,06,24,21,30,10,08,G_15142_12d_iC_T30-1
2015,06,24,21,30,22,09,G_15142_13a_iC_T30-1
2015,06,24,21,30,35,10,G_15142_13b_iC_T30-1
2015,06,24,21,30,48,11,G_15142_13c_iC_T30-1
2015,06,24,21,31,01,12,G_15142_15b_iC_T30-1
2015,06,24,21,31,13,13,G_15142_15c_iC_T30-1
2015,06,24,21,31,26,14,G_15142_15d_iC_T30-1
2015,06,24,21,31,39,15,G_15142_16a_iC_T30-1
2015,06,24,21,31,52,16,G_15142_16b_iC_T30-1
2015,06,24,21,32,04,17,G_15142_16d_iC_T30-1
2015,06,24,21,32,17,18,G_15142_21a_iC_T30-1
2015,06,24,21,32,30,19,G_15142_21b_iC_T30-1
2015,06,24,21,32,43,20,G_15142_21c_iC_T30-1
2015,06,24,21,32,55,21,G_15142_22a_iC_T30-1
2015,06,24,21,33,08,22,G_15142_22b_iC_T30-1
2015,06,24,21,33,21,23,G_15142_22c_iC_T30-1
2015,06,24,21,33,33,24,G_15142_23a_iC_T30-1
2015,06,24,21,33,46,25,G_15142_23b_iC_T30-1
2015,06,24,21,33,59,26,G_15142_23d_iC_T30-1
2015,06,24,21,34,12,27,G_15142_24a_iC_T30-1
2015,06,24,21,34,24,28,G_15142_24b_iC_T30-1
2015,06,24,21,34,37,29,G_15142_24d_iC_T30-1
2015,06,24,21,34,50,30,G_15142_25b_iC_T30-1
2015,06,24,21,35,03,31,G_15142_25c_iC_T30-1
2015,06,24,21,35,15,32,G_15142_25d_iC_T30-1
2015,06,24,21,35,28,33,G_15142_31a_iC_T30-1
2015,06,24,21,35,41,34,G_15142_31c_iC_T30-1
2015,06,24,21,35,54,35,G_15142_31d_iC_T30-1
2015,06,24,21,36,06,36,G_15142_32a_iC_T30-1
2015,06,24,21,36,19,37,G_15142_32b_iC_T30-1
2015,06,24,21,36,32,38,G_15142_32c_iC_T30-1
2015,06,24,21,36,45,39,G_15142_33a_iC_T30-1
